IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
AIR_11,Household air pollution attributable deaths,numeric,AMR,Americas,Country,ECU,Ecuador,Year,2018,false,Sex,Female,SEX_FMLE,GHE cause of death codes,Ischaemic heart disease,GHECAUSE_GHE001130,,,,,,,165.1,,,22.97,,433.4,165 [23-433],,,EN,2024-10-03T04:00:00.000Z
AIR_11,Household air pollution attributable deaths,numeric,AFR,Africa,Country,CMR,Cameroon,Year,2018,false,Sex,Female,SEX_FMLE,GHE cause of death codes,Stroke,GHECAUSE_GHE001140,,,,,,,1653,,,1050,,2488,1653 [1050-2488],,,EN,2024-10-03T04:00:00.000Z
AIR_11,Household air pollution attributable deaths,numeric,AFR,Africa,Country,ZWE,Zimbabwe,Year,2018,false,Sex,Female,SEX_FMLE,GHE cause of death codes,Ischaemic heart disease,GHECAUSE_GHE001130,,,,,,,1656,,,1301,,2036,1656 [1301-2036],,,EN,2024-10-03T04:00:00.000Z
AIR_11,Household air pollution attributable deaths,numeric,EUR,Europe,Country,BIH,Bosnia and Herzegovina,Year,2018,false,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,Stroke,GHECAUSE_GHE001140,,,,,,,1665,,,613.7,,3120,1665 [614-3120],,,EN,2024-10-03T04:00:00.000Z
AIR_11,Household air pollution attributable deaths,numeric,AMR,Americas,Country,ARG,Argentina,Year,2018,false,Sex,Female,SEX_FMLE,GHE cause of death codes,Acute lower respiratory infections,GHECAUSE_GHE000390,,,,,,,167.2,,,0,,1136,167 [0-1136],,,EN,2024-10-03T04:00:00.000Z
AIR_11,Household air pollution attributable deaths,numeric,AFR,Africa,Country,CPV,Cabo Verde,Year,2018,false,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,All causes,GHECAUSE_GHE000000,,,,,,,167.4,,,101.2,,242.2,167 [101-242],,,EN,2024-10-03T04:00:00.000Z
AIR_11,Household air pollution attributable deaths,numeric,EMR,Eastern Mediterranean,Country,SDN,Sudan,Year,2018,false,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,"Trachea, bronchus, lung cancers",GHECAUSE_GHE000680,,,,,,,167.1,,,75.97,,251.9,167 [76-252],,,EN,2024-10-03T04:00:00.000Z
AIR_11,Household air pollution attributable deaths,numeric,EMR,Eastern Mediterranean,Country,IRN,Iran (Islamic Republic of),Year,2018,false,Sex,Male,SEX_MLE,GHE cause of death codes,Ischaemic heart disease,GHECAUSE_GHE001130,,,,,,,1670,,,0,,6786,1670 [0-6786],,,EN,2024-10-03T04:00:00.000Z
AIR_11,Household air pollution attributable deaths,numeric,EMR,Eastern Mediterranean,Country,YEM,Yemen,Year,2018,false,Sex,Female,SEX_FMLE,GHE cause of death codes,Acute lower respiratory infections,GHECAUSE_GHE000390,,,,,,,1671,,,933.2,,2363,1671 [933-2363],,,EN,2024-10-03T04:00:00.000Z
AIR_11,Household air pollution attributable deaths,numeric,AFR,Africa,Country,ERI,Eritrea,Year,2018,false,Sex,Female,SEX_FMLE,GHE cause of death codes,All causes,GHECAUSE_GHE000000,,,,,,,1677,,,1408,,1955,1677 [1408-1955],,,EN,2024-10-03T04:00:00.000Z
AIR_11,Household air pollution attributable deaths,numeric,EMR,Eastern Mediterranean,Country,TUN,Tunisia,Year,2018,false,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,All causes,GHECAUSE_GHE000000,,,,,,,168.1,,,0,,1061,168 [0-1061],,,EN,2024-10-03T04:00:00.000Z
AIR_11,Household air pollution attributable deaths,numeric,SEAR,South-East Asia,Country,TLS,Timor-Leste,Year,2018,false,Sex,Female,SEX_FMLE,GHE cause of death codes,Acute lower respiratory infections,GHECAUSE_GHE000390,,,,,,,168.4,,,127.9,,197.8,168 [128-198],,,EN,2024-10-03T04:00:00.000Z
AIR_11,Household air pollution attributable deaths,numeric,AFR,Africa,Country,STP,Sao Tome and Principe,Year,2018,false,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,All causes,GHECAUSE_GHE000000,,,,,,,167.6,,,146,,190.1,168 [146-190],,,EN,2024-10-03T04:00:00.000Z
AIR_11,Household air pollution attributable deaths,numeric,AMR,Americas,Country,ECU,Ecuador,Year,2018,false,Sex,Male,SEX_MLE,GHE cause of death codes,Acute lower respiratory infections,GHECAUSE_GHE000390,,,,,,,167.8,,,23.41,,421,168 [23-421],,,EN,2024-10-03T04:00:00.000Z
AIR_11,Household air pollution attributable deaths,numeric,AMR,Americas,Country,GUY,Guyana,Year,2018,false,Sex,Female,SEX_FMLE,GHE cause of death codes,All causes,GHECAUSE_GHE000000,,,,,,,168.4,,,93.74,,263.1,168 [94-263],,,EN,2024-10-03T04:00:00.000Z
AIR_11,Household air pollution attributable deaths,numeric,AFR,Africa,Country,LSO,Lesotho,Year,2018,false,Sex,Male,SEX_MLE,GHE cause of death codes,All causes,GHECAUSE_GHE000000,,,,,,,1687,,,1301,,2064,1687 [1301-2064],,,EN,2024-10-03T04:00:00.000Z
AIR_11,Household air pollution attributable deaths,numeric,AFR,Africa,Country,LSO,Lesotho,Year,2018,false,Sex,Female,SEX_FMLE,GHE cause of death codes,All causes,GHECAUSE_GHE000000,,,,,,,1688,,,1312,,2076,1688 [1312-2076],,,EN,2024-10-03T04:00:00.000Z
AIR_11,Household air pollution attributable deaths,numeric,AMR,Americas,Country,ECU,Ecuador,Year,2018,false,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,Stroke,GHECAUSE_GHE001140,,,,,,,168.6,,,22.9,,474,169 [23-474],,,EN,2024-10-03T04:00:00.000Z
AIR_11,Household air pollution attributable deaths,numeric,AFR,Africa,Country,NGA,Nigeria,Year,2018,false,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,All causes,GHECAUSE_GHE000000,,,,,,,169205,,,142205,,192477,169 205 [142 205-192 477],,,EN,2024-10-03T04:00:00.000Z
AIR_11,Household air pollution attributable deaths,numeric,WPR,Western Pacific,Country,VNM,Viet Nam,Year,2018,false,Sex,Male,SEX_MLE,GHE cause of death codes,Chronic obstructive pulmonary disease,GHECAUSE_GHE001180,,,,,,,1690,,,201.9,,4986,1690 [202-4986],,,EN,2024-10-03T04:00:00.000Z
AIR_11,Household air pollution attributable deaths,numeric,AFR,Africa,Country,ZMB,Zambia,Year,2018,false,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,Ischaemic heart disease,GHECAUSE_GHE001130,,,,,,,1693,,,1373,,2050,1693 [1373-2050],,,EN,2024-10-03T04:00:00.000Z
AIR_11,Household air pollution attributable deaths,numeric,EUR,Europe,Country,SRB,Serbia,Year,2018,false,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,Stroke,GHECAUSE_GHE001140,,,,,,,1693,,,624,,3514,1693 [624-3514],,,EN,2024-10-03T04:00:00.000Z
AIR_11,Household air pollution attributable deaths,numeric,EMR,Eastern Mediterranean,Country,TUN,Tunisia,Year,2018,false,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,Acute lower respiratory infections,GHECAUSE_GHE000390,,,,,,,16.73,,,0,,113.7,17 [0-114],,,EN,2024-10-03T04:00:00.000Z
